sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
18,Uncertainty Sampling,1046.6512562423432,977.8382483394576,1111.379224287961,0.018161433398198094,0.494,samplers,977.8382483394576,1111.379224287961
18,Weighted Balanced Acceptance,1390.4454878463782,1309.4643887403004,1455.90658797916,0.014885939035769928,0.494,samplers,1309.4643887403004,1455.90658797916
18,Balanced Acceptance,1973.2051377686291,1843.4750295501938,2116.2934690336892,0.016103160593899907,0.494,samplers,1843.4750295501938,2116.2934690336892
18,Balanced Mask,1015.7149893490297,966.1731534142464,1069.9350952919392,0.012444176510002495,0.494,samplers,966.1731534142464,1069.9350952919392
19,Uncertainty Sampling,1542.854993062865,1438.538389731791,1651.4296913945461,0.01309839773360096,0.7114,samplers,1438.538389731791,1651.4296913945461
19,Weighted Balanced Acceptance,1641.549794589551,1533.6246587676965,1757.0699014987401,0.015772605679831634,0.7114,samplers,1533.6246587676965,1757.0699014987401
19,Balanced Acceptance,2057.8533874520026,1918.716348328076,2215.926931760328,0.01212021075468859,0.7114,samplers,1918.716348328076,2215.926931760328
19,Balanced Mask,1509.2795103130977,1398.8140782955813,1618.7259547853914,0.014063070827380956,0.7114,samplers,1398.8140782955813,1618.7259547853914
20,Uncertainty Sampling,3489.352538152525,3233.963902081748,3749.878354175363,0.010897602557045463,0.8687,samplers,3233.963902081748,3749.878354175363
20,Weighted Balanced Acceptance,3461.5463104498976,3195.384417216477,3749.878354175363,0.010244043759200298,0.8687,samplers,3195.384417216477,3749.878354175363
20,Balanced Acceptance,3910.743858288866,3617.2707325973042,4287.641444461346,0.010542024599685198,0.8687,samplers,3617.2707325973042,4287.641444461346
20,Balanced Mask,3352.5196566897066,3163.5866471252393,3727.444210376451,0.010524934450601552,0.8687,samplers,3163.5866471252393,3727.444210376451
21,Uncertainty Sampling,956.5586132559272,893.6688254484111,1003.598044866814,0.015639860169601512,0.9154,samplers,893.6688254484111,1003.598044866814
21,Weighted Balanced Acceptance,947.0397488904282,893.6688254484111,1005.6074506330227,0.01332548352688892,0.9154,samplers,893.6688254484111,1005.6074506330227
21,Balanced Acceptance,1027.9782278025607,970.0459737864086,1082.8529603829847,0.015766844321777065,0.9154,samplers,970.0459737864086,1082.8529603829847
21,Balanced Mask,937.6156082329761,888.3223333638349,991.6256491459385,0.015717988226038274,0.9154,samplers,888.3223333638349,991.6256491459385
22,Uncertainty Sampling,763.0468743195427,721.486641447388,810.2359197668159,0.025350670341824377,0.7362,samplers,721.486641447388,810.2359197668159
22,Weighted Balanced Acceptance,821.660148050585,770.7163936925931,863.7918840701857,0.02387410011127179,0.7362,samplers,770.7163936925931,863.7918840701857
22,Balanced Acceptance,997.5938866706477,945.1473731616604,1046.6512562423432,0.02529926261533115,0.7362,samplers,945.1473731616604,1046.6512562423432
22,Balanced Mask,760.0004790355695,717.1702520783299,802.1731354089773,0.02583849419076263,0.7362,samplers,717.1702520783299,802.1731354089773
23,Uncertainty Sampling,336.7152627152703,316.4709508252373,358.2545818179148,0.009085675159345372,0.6546,samplers,316.4709508252373,358.2545818179148
23,Weighted Balanced Acceptance,378.13423688389406,354.68953444351985,402.3230839417856,0.010283779895706455,0.6546,samplers,354.68953444351985,402.3230839417856
23,Balanced Acceptance,504.35382701671284,474.9796964900788,535.5445394953161,0.010405882623950632,0.6546,samplers,474.9796964900788,535.5445394953161
23,Balanced Mask,322.86473390485014,304.0607309843886,342.14658474788195,0.009390183007921977,0.6546,samplers,304.0607309843886,342.14658474788195
24,Uncertainty Sampling,520.7558218450073,481.67685265222485,561.8803127464993,0.012516098103895514,0.0774,samplers,481.67685265222485,561.8803127464993
24,Weighted Balanced Acceptance,2955.5938590291776,2750.251597433336,3163.5866471252393,0.009867556566515272,0.0774,samplers,2750.251597433336,3163.5866471252393
24,Balanced Acceptance,6000.065616610868,5483.597723156939,6525.899552183112,0.009301858031614508,0.0774,samplers,5483.597723156939,6525.899552183112
24,Balanced Mask,450.90959207183363,412.92172926804295,486.51827206864124,0.013677281457934993,0.0774,samplers,412.92172926804295,486.51827206864124
25,Uncertainty Sampling,1156.740098266369,1082.8529603829847,1225.8219387299328,0.017256455255935967,0.6427,samplers,1082.8529603829847,1225.8219387299328
25,Weighted Balanced Acceptance,1309.4643887403004,1230.7355384922325,1371.1129612452237,0.016493524405961083,0.6427,samplers,1230.7355384922325,1371.1129612452237
25,Balanced Acceptance,1668.028503915309,1561.482658183051,1781.8443741869382,0.014924777909992082,0.6427,samplers,1561.482658183051,1781.8443741869382
25,Balanced Mask,1120.3068135798414,1046.6512562423432,1199.1457030868103,0.01705819946460572,0.6427,samplers,1046.6512562423432,1199.1457030868103
