sim,variable,offset,eff,eff_low,eff_upp,deg,pmax,occ,set
3,Under-0.05,-0.05,970.38296661031,1020.140666413737,912.0406887152724,55,0.9818181818181818,0.3808,ranges
3,Under-0.10,-0.1,972.3258690885563,1047.0148616507565,924.9003519044456,55,0.9818181818181818,0.3808,ranges
3,Under-0.15,-0.15,976.2233520820355,1042.8347499903452,917.5299330355882,55,0.9818181818181818,0.3808,ranges
3,Under-0.20,-0.2,949.0155004201431,1003.6822162412725,877.7987305854892,55,0.9454545454545454,0.3808,ranges
3,Under-0.25,-0.25,922.8090483952451,995.683994238557,867.3270543804542,55,0.9454545454545454,0.3808,ranges
3,Under-0.30,-0.3,909.4472679731388,983.2317182158464,841.1998086520599,55,0.9272727272727272,0.3808,ranges
3,Under-0.35,-0.35,894.8320473513925,955.8898098399742,841.0321129210462,55,0.9090909090909091,0.3808,ranges
3,Under-0.40,-0.4,873.7850008577498,942.7884796673065,809.8319444817623,55,0.8909090909090909,0.3808,ranges
3,Under-0.45,-0.45,840.0384272814869,891.9888550422866,783.2411548251702,55,0.8727272727272727,0.3808,ranges
3,Under-0.50,-0.5,849.374372946671,909.1470455101954,798.307487594719,55,0.8545454545454545,0.3808,ranges
4,Over-0.20,0.2,2133.2934259338344,2320.2510609943065,2005.0335510493398,55,1.0,0.8611,ranges
4,Over-0.15,0.15,2103.632463123415,2287.990669810254,1993.0381723310418,55,1.0,0.8611,ranges
4,Over-0.10,0.1,2009.0480327430114,2207.0800449153153,1880.719457264302,55,1.0,0.8611,ranges
4,Over-0.05,0.05,1957.480905044972,2091.0472033575297,1839.791395989295,55,1.0,0.8611,ranges
4,True-0.00,0.0,1828.7846003444001,1930.2644107639635,1701.728318690832,55,1.0,0.8611,ranges
4,Under-0.05,-0.05,1796.7817206985549,1973.8906268995388,1678.650725289363,55,0.9818181818181818,0.8611,ranges
4,Under-0.10,-0.1,1836.752987290448,1993.730551434694,1698.9179206544818,55,0.9818181818181818,0.8611,ranges
4,Under-0.15,-0.15,1818.4751710472485,1981.802794408292,1702.3194970958998,55,0.9818181818181818,0.8611,ranges
4,Under-0.20,-0.2,1800.3792402121226,1962.0815648487924,1668.6079750445838,55,0.9818181818181818,0.8611,ranges
4,Under-0.25,-0.25,1796.7817206985549,1915.5475953617893,1678.650725289363,55,0.9818181818181818,0.8611,ranges
4,Under-0.30,-0.3,1771.3328028019364,1922.719249753002,1618.861716696433,55,0.9454545454545454,0.8611,ranges
4,Under-0.35,-0.35,1732.7852048539899,1877.1188218691723,1615.626905671342,55,0.9454545454545454,0.8611,ranges
4,Under-0.40,-0.4,1725.8672174355688,1888.4165237798343,1574.157892686425,55,0.9454545454545454,0.8611,ranges
4,Under-0.45,-0.45,1653.9089457298685,1791.6725067772827,1542.0836839825504,55,0.9272727272727272,0.8611,ranges
