sim,set,sp,type,sampler,layer,offset,nbon,low,med,upp,deg,confint_low,confint_upp,pmax
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,261,0.2807017543859649,0.3684210526315789,0.43070175438596486,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,276,0.24561403508771928,0.3508771929824561,0.45614035087719296,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,290,0.2885964912280702,0.3684210526315789,0.43859649122807015,57,0.3508771929824561,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,304,0.30614035087719305,0.38596491228070173,0.475438596491228,57,0.3684210526315789,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,319,0.3333333333333333,0.42105263157894735,0.49122807017543857,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,334,0.3157894736842105,0.43859649122807015,0.5008771929824561,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,348,0.3412280701754386,0.4298245614035088,0.5184210526315789,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,362,0.32368421052631585,0.42105263157894735,0.5008771929824561,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,377,0.3508771929824561,0.45614035087719296,0.5184210526315789,57,0.42105263157894735,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,392,0.3684210526315789,0.4473684210526316,0.5263157894736842,57,0.43859649122807015,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,406,0.3938596491228071,0.47368421052631576,0.543859649122807,57,0.45614035087719296,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,420,0.38596491228070173,0.45614035087719296,0.5710526315789474,57,0.45614035087719296,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,435,0.3938596491228071,0.49122807017543857,0.5885964912280701,57,0.47368421052631576,0.5087719298245614,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,14,0.0,0.03508771929824561,0.07017543859649122,57,0.03508771929824561,0.03508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,28,0.017543859649122806,0.05263157894736842,0.09736842105263153,57,0.03508771929824561,0.05263157894736842,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,42,0.03508771929824561,0.08771929824561403,0.15789473684210525,57,0.07017543859649122,0.08771929824561403,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,56,0.07017543859649122,0.10526315789473684,0.17543859649122806,57,0.10526315789473684,0.12280701754385964,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,70,0.07017543859649122,0.11403508771929824,0.21052631578947367,57,0.10526315789473684,0.14035087719298245,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,84,0.10526315789473684,0.15789473684210525,0.237719298245614,57,0.14035087719298245,0.15789473684210525,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,98,0.0956140350877193,0.15789473684210525,0.237719298245614,57,0.14035087719298245,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,112,0.10526315789473684,0.19298245614035087,0.2631578947368421,57,0.17543859649122806,0.21052631578947367,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,126,0.1482456140350877,0.21052631578947367,0.3350877192982455,57,0.19298245614035087,0.22807017543859648,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,140,0.1482456140350877,0.21052631578947367,0.2982456140350877,57,0.21052631578947367,0.22807017543859648,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,154,0.15789473684210525,0.24561403508771928,0.3508771929824561,57,0.22807017543859648,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,168,0.20087719298245613,0.2631578947368421,0.34298245614035083,57,0.24561403508771928,0.2807017543859649,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,182,0.20877192982456141,0.2982456140350877,0.40350877192982454,57,0.2807017543859649,0.3157894736842105,1.0
