sim,sp,type,sampler,nbon,low,med,upp,deg
1,node_55,realized,BalancedAcceptance,306,0.20087719298245613,0.2631578947368421,0.36052631578947364,57
1,node_55,realized,BalancedAcceptance,311,0.19298245614035087,0.2543859649122807,0.3508771929824561,57
1,node_55,realized,BalancedAcceptance,316,0.17543859649122806,0.2807017543859649,0.3877192982456139,57
1,node_55,realized,BalancedAcceptance,321,0.16578947368421051,0.24561403508771928,0.34298245614035083,57
1,node_55,realized,BalancedAcceptance,326,0.18333333333333332,0.2807017543859649,0.3684210526315789,57
1,node_55,realized,BalancedAcceptance,331,0.19298245614035087,0.2807017543859649,0.3684210526315789,57
1,node_55,realized,BalancedAcceptance,336,0.19298245614035087,0.2719298245614035,0.38596491228070173,57
1,node_55,realized,BalancedAcceptance,341,0.21052631578947367,0.2982456140350877,0.38596491228070173,57
1,node_55,realized,BalancedAcceptance,346,0.21052631578947367,0.2982456140350877,0.3684210526315789,57
1,node_55,realized,BalancedAcceptance,351,0.20087719298245613,0.3157894736842105,0.39561403508771925,57
1,node_55,realized,BalancedAcceptance,356,0.23596491228070174,0.3157894736842105,0.37807017543859645,57
1,node_55,realized,BalancedAcceptance,361,0.22807017543859648,0.3333333333333333,0.40350877192982454,57
1,node_55,realized,BalancedAcceptance,366,0.22807017543859648,0.3157894736842105,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,371,0.1912280701754386,0.30701754385964913,0.39561403508771925,57
1,node_55,realized,BalancedAcceptance,376,0.19298245614035087,0.30701754385964913,0.38596491228070173,57
1,node_55,realized,BalancedAcceptance,381,0.23596491228070174,0.3157894736842105,0.3973684210526314,57
1,node_55,realized,BalancedAcceptance,386,0.23596491228070174,0.3333333333333333,0.43859649122807015,57
1,node_55,realized,BalancedAcceptance,391,0.23596491228070174,0.3333333333333333,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,396,0.21052631578947367,0.3157894736842105,0.40526315789473677,57
1,node_55,realized,BalancedAcceptance,401,0.2631578947368421,0.3333333333333333,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,406,0.24561403508771928,0.3508771929824561,0.41315789473684206,57
1,node_55,realized,BalancedAcceptance,411,0.23596491228070174,0.3157894736842105,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,416,0.2535087719298246,0.3508771929824561,0.4403508771929824,57
1,node_55,realized,BalancedAcceptance,421,0.2535087719298246,0.34210526315789475,0.43070175438596486,57
1,node_55,realized,BalancedAcceptance,426,0.2535087719298246,0.34210526315789475,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,431,0.2631578947368421,0.3333333333333333,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,436,0.2631578947368421,0.3508771929824561,0.43859649122807015,57
1,node_55,realized,BalancedAcceptance,441,0.2710526315789474,0.3508771929824561,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,446,0.2710526315789474,0.3508771929824561,0.43859649122807015,57
1,node_55,realized,BalancedAcceptance,451,0.2807017543859649,0.3508771929824561,0.49122807017543857,57
1,node_55,realized,BalancedAcceptance,456,0.2807017543859649,0.3508771929824561,0.43859649122807015,57
1,node_55,realized,BalancedAcceptance,461,0.2710526315789474,0.3508771929824561,0.43070175438596486,57
1,node_55,realized,BalancedAcceptance,466,0.2535087719298246,0.3684210526315789,0.4578947368421052,57
1,node_55,realized,BalancedAcceptance,471,0.2885964912280702,0.3684210526315789,0.44824561403508767,57
1,node_55,realized,BalancedAcceptance,476,0.24561403508771928,0.3684210526315789,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,481,0.2631578947368421,0.3508771929824561,0.42105263157894735,57
1,node_55,realized,BalancedAcceptance,486,0.2885964912280702,0.38596491228070173,0.4657894736842105,57
1,node_55,realized,BalancedAcceptance,491,0.2631578947368421,0.38596491228070173,0.47368421052631576,57
1,node_55,realized,BalancedAcceptance,496,0.2982456140350877,0.37719298245614036,0.44824561403508767,57
1,node_71,realized,BalancedAcceptance,1,0.0,0.0,0.03125,32
1,node_71,realized,BalancedAcceptance,6,0.0,0.0,0.03125,32
1,node_71,realized,BalancedAcceptance,11,0.0,0.03125,0.07968749999999991,32
1,node_71,realized,BalancedAcceptance,16,0.0,0.03125,0.09375,32
1,node_71,realized,BalancedAcceptance,21,0.0,0.03125,0.09375,32
1,node_71,realized,BalancedAcceptance,26,0.0,0.0625,0.125,32
1,node_71,realized,BalancedAcceptance,31,0.0,0.078125,0.15625,32
1,node_71,realized,BalancedAcceptance,36,0.03125,0.09375,0.2046874999999999,32
1,node_71,realized,BalancedAcceptance,41,0.03125,0.09375,0.1734374999999999,32
1,node_71,realized,BalancedAcceptance,46,0.045312500000000006,0.125,0.1875,32
1,node_71,realized,BalancedAcceptance,51,0.03125,0.109375,0.1875,32
1,node_71,realized,BalancedAcceptance,56,0.045312500000000006,0.125,0.2359374999999999,32
1,node_71,realized,BalancedAcceptance,61,0.0625,0.125,0.2046874999999999,32
1,node_71,realized,BalancedAcceptance,66,0.0625,0.15625,0.2671874999999999,32
1,node_71,realized,BalancedAcceptance,71,0.0765625,0.15625,0.2359374999999999,32
1,node_71,realized,BalancedAcceptance,76,0.09375,0.171875,0.2671874999999999,32
1,node_71,realized,BalancedAcceptance,81,0.0765625,0.1875,0.28125,32
1,node_71,realized,BalancedAcceptance,86,0.09375,0.1875,0.28125,32
1,node_71,realized,BalancedAcceptance,91,0.125,0.1875,0.28125,32
1,node_71,realized,BalancedAcceptance,96,0.1078125,0.1875,0.3125,32
1,node_71,realized,BalancedAcceptance,101,0.125,0.21875,0.3296874999999999,32
1,node_71,realized,BalancedAcceptance,106,0.125,0.21875,0.34375,32
1,node_71,realized,BalancedAcceptance,111,0.125,0.234375,0.34375,32
1,node_71,realized,BalancedAcceptance,116,0.1703125,0.25,0.3296874999999999,32
1,node_71,realized,BalancedAcceptance,121,0.1390625,0.25,0.34375,32
1,node_71,realized,BalancedAcceptance,126,0.15625,0.25,0.34375,32
1,node_71,realized,BalancedAcceptance,131,0.15625,0.28125,0.4093749999999998,32
1,node_71,realized,BalancedAcceptance,136,0.1390625,0.25,0.34375,32
1,node_71,realized,BalancedAcceptance,141,0.15625,0.28125,0.375,32
1,node_71,realized,BalancedAcceptance,146,0.1875,0.28125,0.40625,32
1,node_71,realized,BalancedAcceptance,151,0.1875,0.3125,0.375,32
1,node_71,realized,BalancedAcceptance,156,0.1875,0.28125,0.375,32
1,node_71,realized,BalancedAcceptance,161,0.21875,0.3125,0.4375,32
1,node_71,realized,BalancedAcceptance,166,0.21875,0.3125,0.4234374999999999,32
1,node_71,realized,BalancedAcceptance,171,0.21875,0.3125,0.4234374999999999,32
1,node_71,realized,BalancedAcceptance,176,0.21875,0.34375,0.4375,32
1,node_71,realized,BalancedAcceptance,181,0.2328125,0.3125,0.4375,32
1,node_71,realized,BalancedAcceptance,186,0.21875,0.34375,0.4546874999999999,32
1,node_71,realized,BalancedAcceptance,191,0.2015625,0.34375,0.46875,32
1,node_71,realized,BalancedAcceptance,196,0.2328125,0.375,0.46875,32
1,node_71,realized,BalancedAcceptance,201,0.2328125,0.34375,0.4546874999999999,32
1,node_71,realized,BalancedAcceptance,206,0.2328125,0.375,0.46875,32
1,node_71,realized,BalancedAcceptance,211,0.2640625,0.34375,0.4859374999999999,32
1,node_71,realized,BalancedAcceptance,216,0.2328125,0.359375,0.4375,32
1,node_71,realized,BalancedAcceptance,221,0.25,0.375,0.46875,32
1,node_71,realized,BalancedAcceptance,226,0.2640625,0.375,0.5,32
1,node_71,realized,BalancedAcceptance,231,0.28125,0.375,0.46875,32
1,node_71,realized,BalancedAcceptance,236,0.28125,0.390625,0.46875,32
1,node_71,realized,BalancedAcceptance,241,0.28125,0.40625,0.5171874999999999,32
1,node_71,realized,BalancedAcceptance,246,0.28125,0.40625,0.53125,32
1,node_71,realized,BalancedAcceptance,251,0.2328125,0.40625,0.5171874999999999,32
1,node_71,realized,BalancedAcceptance,256,0.25,0.40625,0.5625,32
1,node_71,realized,BalancedAcceptance,261,0.3265625,0.40625,0.53125,32
1,node_71,realized,BalancedAcceptance,266,0.2953125,0.4375,0.53125,32
1,node_71,realized,BalancedAcceptance,271,0.2953125,0.453125,0.5484374999999999,32
1,node_71,realized,BalancedAcceptance,276,0.3265625,0.4375,0.53125,32
1,node_71,realized,BalancedAcceptance,281,0.3125,0.4375,0.5484374999999999,32
1,node_71,realized,BalancedAcceptance,286,0.2953125,0.421875,0.53125,32
1,node_71,realized,BalancedAcceptance,291,0.34375,0.46875,0.59375,32
1,node_71,realized,BalancedAcceptance,296,0.34375,0.4375,0.53125,32
1,node_71,realized,BalancedAcceptance,301,0.3265625,0.46875,0.5625,32
1,node_71,realized,BalancedAcceptance,306,0.3125,0.453125,0.5796874999999999,32
1,node_71,realized,BalancedAcceptance,311,0.375,0.4375,0.5625,32
1,node_71,realized,BalancedAcceptance,316,0.34375,0.453125,0.5796874999999999,32
1,node_71,realized,BalancedAcceptance,321,0.34375,0.46875,0.59375,32
1,node_71,realized,BalancedAcceptance,326,0.34375,0.46875,0.59375,32
1,node_71,realized,BalancedAcceptance,331,0.375,0.4375,0.59375,32
1,node_71,realized,BalancedAcceptance,336,0.3890625,0.46875,0.5796874999999999,32
1,node_71,realized,BalancedAcceptance,341,0.3578125,0.46875,0.6109374999999999,32
1,node_71,realized,BalancedAcceptance,346,0.375,0.46875,0.6109374999999999,32
1,node_71,realized,BalancedAcceptance,351,0.3578125,0.5,0.59375,32
1,node_71,realized,BalancedAcceptance,356,0.375,0.5,0.59375,32
1,node_71,realized,BalancedAcceptance,361,0.375,0.46875,0.59375,32
1,node_71,realized,BalancedAcceptance,366,0.40625,0.46875,0.5796874999999999,32
1,node_71,realized,BalancedAcceptance,371,0.3578125,0.5,0.59375,32
1,node_71,realized,BalancedAcceptance,376,0.40625,0.53125,0.59375,32
1,node_71,realized,BalancedAcceptance,381,0.375,0.5,0.59375,32
1,node_71,realized,BalancedAcceptance,386,0.40625,0.515625,0.625,32
1,node_71,realized,BalancedAcceptance,391,0.4375,0.53125,0.6109374999999999,32
1,node_71,realized,BalancedAcceptance,396,0.4203125,0.53125,0.625,32
1,node_71,realized,BalancedAcceptance,401,0.40625,0.5,0.65625,32
1,node_71,realized,BalancedAcceptance,406,0.4203125,0.53125,0.625,32
1,node_71,realized,BalancedAcceptance,411,0.4375,0.53125,0.6109374999999999,32
1,node_71,realized,BalancedAcceptance,416,0.4375,0.53125,0.6421874999999999,32
1,node_71,realized,BalancedAcceptance,421,0.4375,0.5625,0.65625,32
1,node_71,realized,BalancedAcceptance,426,0.40625,0.546875,0.65625,32
1,node_71,realized,BalancedAcceptance,431,0.434375,0.53125,0.65625,32
1,node_71,realized,BalancedAcceptance,436,0.4515625,0.53125,0.6421874999999999,32
1,node_71,realized,BalancedAcceptance,441,0.375,0.515625,0.65625,32
1,node_71,realized,BalancedAcceptance,446,0.4203125,0.546875,0.6875,32
1,node_71,realized,BalancedAcceptance,451,0.4203125,0.578125,0.65625,32
1,node_71,realized,BalancedAcceptance,456,0.46875,0.5625,0.65625,32
1,node_71,realized,BalancedAcceptance,461,0.46875,0.5625,0.6875,32
1,node_71,realized,BalancedAcceptance,466,0.4203125,0.546875,0.65625,32
1,node_71,realized,BalancedAcceptance,471,0.46875,0.5625,0.65625,32
1,node_71,realized,BalancedAcceptance,476,0.4375,0.59375,0.6734374999999999,32
1,node_71,realized,BalancedAcceptance,481,0.4515625,0.5625,0.65625,32
1,node_71,realized,BalancedAcceptance,486,0.46875,0.5625,0.6875,32
1,node_71,realized,BalancedAcceptance,491,0.5,0.5625,0.6875,32
1,node_71,realized,BalancedAcceptance,496,0.4515625,0.59375,0.6875,32
1,node_13,realized,BalancedAcceptance,1,0.0,0.0,0.0,20
1,node_13,realized,BalancedAcceptance,6,0.0,0.0,0.0,20
1,node_13,realized,BalancedAcceptance,11,0.0,0.0,0.05,20
1,node_13,realized,BalancedAcceptance,16,0.0,0.0,0.05,20
1,node_13,realized,BalancedAcceptance,21,0.0,0.0,0.05,20
1,node_13,realized,BalancedAcceptance,26,0.0,0.0,0.05,20
1,node_13,realized,BalancedAcceptance,31,0.0,0.0,0.05,20
1,node_13,realized,BalancedAcceptance,36,0.0,0.0,0.1,20
1,node_13,realized,BalancedAcceptance,41,0.0,0.0,0.12749999999999986,20
1,node_13,realized,BalancedAcceptance,46,0.0,0.0,0.1,20
1,node_13,realized,BalancedAcceptance,51,0.0,0.05,0.1,20
1,node_13,realized,BalancedAcceptance,56,0.0,0.0,0.07749999999999986,20
1,node_13,realized,BalancedAcceptance,61,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,66,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,71,0.0,0.05,0.1,20
1,node_13,realized,BalancedAcceptance,76,0.0,0.025,0.1,20
1,node_13,realized,BalancedAcceptance,81,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,86,0.0,0.05,0.2,20
1,node_13,realized,BalancedAcceptance,91,0.0,0.05,0.2,20
1,node_13,realized,BalancedAcceptance,96,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,101,0.0,0.05,0.12749999999999986,20
1,node_13,realized,BalancedAcceptance,106,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,111,0.0,0.05,0.2,20
1,node_13,realized,BalancedAcceptance,116,0.0,0.05,0.17749999999999985,20
1,node_13,realized,BalancedAcceptance,121,0.0,0.05,0.15,20
1,node_13,realized,BalancedAcceptance,126,0.0,0.05,0.17749999999999985,20
1,node_13,realized,BalancedAcceptance,131,0.0,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,136,0.0,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,141,0.0,0.1,0.22749999999999987,20
1,node_13,realized,BalancedAcceptance,146,0.02250000000000001,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,151,0.0,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,156,0.0,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,161,0.0,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,166,0.0,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,171,0.05,0.1,0.17749999999999985,20
1,node_13,realized,BalancedAcceptance,176,0.0,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,181,0.0,0.1,0.22749999999999987,20
1,node_13,realized,BalancedAcceptance,186,0.0,0.1,0.2,20
1,node_13,realized,BalancedAcceptance,191,0.0,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,196,0.05,0.1,0.2549999999999997,20
1,node_13,realized,BalancedAcceptance,201,0.02250000000000001,0.15,0.2,20
