sim,set,variable,offset,eff,eff_low,eff_upp,occ
8,ranges,Over-0.15,0.15,6759.245978683617,6601.08908254133,6965.627364712565,0.4049
8,ranges,Over-0.10,0.1,6816.990154116569,6589.896851876785,6983.033739950675,0.4049
8,ranges,Over-0.05,0.05,6820.578877325204,6593.629846697149,6993.447741074715,0.4049
8,ranges,True-0.00,0.0,6751.985244672012,6601.08908254133,6972.597360717591,0.4049
8,ranges,Under-0.05,-0.05,6686.216453329724,6492.058223440699,6927.115584239951,0.4049
8,ranges,Under-0.10,-0.1,6589.896851876785,6323.16756883497,6777.356430787031,0.4049
8,ranges,Under-0.15,-0.15,6404.282548858508,6150.345464788759,6615.980463523512,0.4049
8,ranges,Under-0.20,-0.2,6323.16756883497,6106.561247373764,6597.360591155202,0.4049
8,ranges,Under-0.25,-0.25,6201.798067538421,5953.638418267539,6438.764102760817,0.4049
8,ranges,Under-0.30,-0.3,6006.237303299855,5757.057981464386,6217.564700881267,0.4049
8,ranges,Under-0.35,-0.35,5977.950479523599,5736.379702454171,6201.798067538421,0.4049
8,ranges,Under-0.40,-0.4,5669.972488883941,5447.648153017079,6006.237303299855,0.4049
8,ranges,Under-0.45,-0.45,5523.531976616876,5076.56226214956,5690.7627754607565,0.4049
8,ranges,Under-0.50,-0.5,5110.9255813323325,4861.079985860037,5439.194586744732,0.4049
9,ranges,Over-0.50,0.5,9202.518111928848,9165.916546846474,9242.252223218025,0.2472
9,ranges,Over-0.45,0.45,9200.123559839061,9155.90569998668,9236.522993622913,0.2472
9,ranges,Over-0.40,0.4,9198.923866706202,9164.671019990505,9239.965195229763,0.2472
9,ranges,Over-0.35,0.35,9206.097880334415,9167.160413472984,9241.109485404928,0.2472
9,ranges,Over-0.30,0.3,9202.518111928848,9172.119312311832,9242.252223218025,0.2472
9,ranges,Over-0.25,0.25,9202.518111928848,9159.672275616653,9236.522993622913,0.2472
9,ranges,Over-0.20,0.2,9209.66321816625,9165.916546846474,9238.819351002014,0.2472
9,ranges,Over-0.15,0.15,9202.518111928848,9173.354903756637,9237.671951030408,0.2472
9,ranges,Over-0.10,0.1,9206.097880334415,9172.119312311832,9241.109485404928,0.2472
9,ranges,Over-0.05,0.05,9203.712974314534,9163.42383117272,9241.109485404928,0.2472
9,ranges,True-0.00,0.0,9202.518111928848,9162.174978660214,9234.220399728352,0.2472
9,ranges,Under-0.05,-0.05,9162.174978660214,9117.40350952585,9201.321641008373,0.2472
9,ranges,Under-0.10,-0.1,9143.241367572642,9092.21811816033,9172.119312311832,0.2472
9,ranges,Under-0.15,-0.15,9096.23668378892,9052.548384441141,9135.561687734351,0.2472
9,ranges,Under-0.20,-0.2,9049.756896842146,9012.801984053172,9093.559397440356,0.2472
9,ranges,Under-0.25,-0.25,9018.568431331354,8979.063804649815,9071.886774420193,0.2472
9,ranges,Under-0.30,-0.3,8980.551437383237,8931.99552629713,9024.305226682998,0.2472
9,ranges,Under-0.35,-0.35,8931.99552629713,8887.868258744213,8977.57427091528,0.2472
9,ranges,Under-0.40,-0.4,8868.477620670998,8806.840078695886,8906.970176741892,0.2472
9,ranges,Under-0.45,-0.45,8791.417821027759,8729.809545074226,8832.168214778198,0.2472
9,ranges,Under-0.50,-0.5,8695.258920213533,8650.480975014263,8745.902105123352,0.2472
10,ranges,Over-0.50,0.5,9094.89891873086,9049.756896842146,9140.688258852691,0.2727
10,ranges,Over-0.45,0.45,9092.21811816033,9055.332628694016,9141.965659830415,0.2727
10,ranges,Over-0.40,0.4,9100.239459134173,9058.109643720658,9138.128370221217,0.2727
10,ranges,Over-0.35,0.35,9100.239459134173,9059.495444685725,9140.688258852691,0.2727
10,ranges,Over-0.30,0.3,9102.899227066579,9069.145693845623,9141.965659830415,0.2727
10,ranges,Over-0.25,0.25,9106.875790621913,9062.261642340658,9145.7877103172,0.2727
10,ranges,Over-0.20,0.2,9098.906952234345,9062.261642340658,9134.275794435605,0.2727
10,ranges,Over-0.15,0.15,9098.906952234345,9053.941411103275,9135.561687734351,0.2727
10,ranges,Over-0.10,0.1,9101.570216826465,9065.020646054518,9145.7877103172,0.2727
10,ranges,Over-0.05,0.05,9104.226491609497,9060.87944363771,9147.058348801605,0.2727
10,ranges,True-0.00,0.0,9098.906952234345,9065.020646054518,9139.409162897207,0.2727
10,ranges,Under-0.05,-0.05,9056.722038978245,9004.096468176365,9096.23668378892,0.2727
10,ranges,Under-0.10,-0.1,9001.179680961557,8951.959631086935,9041.338832723915,0.2727
10,ranges,Under-0.15,-0.15,8968.597048462061,8921.108967753276,9017.129603800957,0.2727
10,ranges,Under-0.20,-0.2,8919.545886824255,8865.21756507934,8961.063428073534,0.2727
