ns,nsites,C_exp,ra_sigma,ra_scaling,energy_NFL,H_nlm,nbon,prop_observed_sp,prop_detected_int,prop_realized_int,prop_possible_int
100,100,0.2,1.2,50.0,10000,0.5,25,0.98,0.00866,0.0184,0.915
100,100,0.3,1.2,50.0,10000,0.5,25,0.97,0.00398,0.0146,0.834
100,100,0.1,1.8,50.0,10000,0.5,25,1.0,0.021,0.0524,0.923
100,100,0.2,1.8,50.0,10000,0.5,25,0.99,0.0111,0.0334,0.928
100,100,0.3,1.8,50.0,10000,0.5,25,0.99,0.00858,0.0203,0.936
100,100,0.1,0.6,75.0,10000,0.5,25,1.0,0.00864,0.0296,0.897
100,100,0.2,0.6,75.0,10000,0.5,25,0.99,0.00777,0.0218,0.9
100,100,0.3,0.6,75.0,10000,0.5,25,1.0,0.00598,0.0152,0.914
100,100,0.1,1.2,75.0,10000,0.5,25,0.99,0.0125,0.0236,0.822
100,100,0.2,1.2,75.0,10000,0.5,25,0.99,0.0116,0.0212,0.921
100,100,0.3,1.2,75.0,10000,0.5,25,0.99,0.0133,0.0227,0.91
100,100,0.1,1.8,75.0,10000,0.5,25,0.98,0.0118,0.0355,0.916
100,100,0.2,1.8,75.0,10000,0.5,25,0.99,0.0185,0.0293,0.866
100,100,0.3,1.8,75.0,10000,0.5,25,0.97,0.0101,0.0201,0.827
100,100,0.1,0.6,25.0,100000,0.5,25,1.0,0.0167,0.196,0.925
100,100,0.2,0.6,25.0,100000,0.5,25,0.98,0.00735,0.111,0.912
100,100,0.3,0.6,25.0,100000,0.5,25,0.96,0.00557,0.0741,0.865
100,100,0.1,1.2,25.0,100000,0.5,25,0.99,0.0166,0.136,0.872
100,100,0.2,1.2,25.0,100000,0.5,25,0.99,0.0135,0.109,0.949
100,100,0.3,1.2,25.0,100000,0.5,25,1.0,0.0147,0.0632,0.956
100,100,0.1,1.8,25.0,100000,0.5,25,1.0,0.0381,0.15,0.948
100,100,0.2,1.8,25.0,100000,0.5,25,1.0,0.0265,0.0939,0.945
100,100,0.3,1.8,25.0,100000,0.5,25,0.99,0.00912,0.0612,0.913
100,100,0.1,0.6,50.0,100000,0.5,25,1.0,0.0396,0.187,0.957
100,100,0.2,0.6,50.0,100000,0.5,25,1.0,0.0298,0.107,0.897
100,100,0.3,0.6,50.0,100000,0.5,25,0.97,0.0181,0.0773,0.891
100,100,0.1,1.2,50.0,100000,0.5,25,1.0,0.0394,0.142,0.945
100,100,0.2,1.2,50.0,100000,0.5,25,1.0,0.0234,0.0872,0.951
100,100,0.3,1.2,50.0,100000,0.5,25,0.99,0.0223,0.0693,0.905
100,100,0.1,1.8,50.0,100000,0.5,25,0.98,0.0365,0.127,0.85
100,100,0.2,1.8,50.0,100000,0.5,25,1.0,0.0272,0.0989,0.927
100,100,0.3,1.8,50.0,100000,0.5,25,0.99,0.033,0.0826,0.901
100,100,0.1,0.6,75.0,100000,0.5,25,0.99,0.0817,0.228,0.926
100,100,0.2,0.6,75.0,100000,0.5,25,1.0,0.0476,0.118,0.924
100,100,0.3,0.6,75.0,100000,0.5,25,0.98,0.0284,0.0781,0.835
100,100,0.1,1.2,75.0,100000,0.5,25,0.99,0.0597,0.127,0.852
100,100,0.2,1.2,75.0,100000,0.5,25,0.99,0.0452,0.0993,0.912
100,100,0.3,1.2,75.0,100000,0.5,25,1.0,0.0271,0.0704,0.923
100,100,0.1,1.8,75.0,100000,0.5,25,1.0,0.0459,0.107,0.908
100,100,0.2,1.8,75.0,100000,0.5,25,0.98,0.0304,0.0545,0.89
100,100,0.3,1.8,75.0,100000,0.5,25,0.99,0.0357,0.077,0.956
100,100,0.1,0.6,25.0,1000,0.75,25,1.0,0.0,0.0121,0.95
100,100,0.2,0.6,25.0,1000,0.75,25,0.98,0.0,0.00162,0.864
100,100,0.3,0.6,25.0,1000,0.75,25,1.0,0.0,0.00143,0.956
100,100,0.1,1.2,25.0,1000,0.75,25,1.0,0.0,0.00568,0.944
100,100,0.2,1.2,25.0,1000,0.75,25,0.99,0.0,0.00829,0.923
100,100,0.3,1.2,25.0,1000,0.75,25,1.0,0.0,0.00832,0.948
100,100,0.1,1.8,25.0,1000,0.75,25,0.99,0.00433,0.0173,0.893
100,100,0.2,1.8,25.0,1000,0.75,25,0.99,0.00259,0.00518,0.927
100,100,0.3,1.8,25.0,1000,0.75,25,0.99,0.0,0.0113,0.897
100,100,0.1,0.6,50.0,1000,0.75,25,1.0,0.00244,0.0122,0.936
100,100,0.2,0.6,50.0,1000,0.75,25,1.0,0.0,0.0,0.928
100,100,0.3,0.6,50.0,1000,0.75,25,0.99,0.0015,0.0045,0.906
