nbon,nrep,refmethod,βos_low_realized,βos_upp_possible,βos_detected,βos_upp_realized,βos_possible,βos_realized,βos_med_realized,βos_upp_detected,βos_med_possible,βos_low_possible,βos_med_detected,βos_low_detected
57,4,metawebify,0.9836808703535811,0.7179688886260127,0.8684884713919727,0.9974442555744425,0.024344569288389514,0.717425431711146,0.9927140255009107,1.0,0.5752339812814975,0.4702403097832277,0.9963503649635036,0.9927140255009107
57,5,metawebify,0.9835032195258399,0.655724579663731,0.9059907834101383,0.9961389961389961,0.011246943765281174,0.7305439330543934,0.9903753609239654,1.0,0.5666666666666667,0.4076832648202228,0.9961389961389961,0.9892270674465092
57,6,metawebify,0.9839715048975958,0.6882486123283666,0.880168776371308,0.996415770609319,0.014110150204824761,0.7138461538461538,0.9910634495084897,1.0,0.5790219702338767,0.44657255886800606,0.996415770609319,0.9907091745463839
57,7,metawebify,0.9853943654048377,0.6654893420284211,0.8839645447219984,0.9982905982905983,0.0064571674558760225,0.7128205128205128,0.9914821124361158,1.0,0.5351280367695338,0.4324230135430984,0.9982905982905983,0.9938601468187809
57,8,metawebify,0.9818951712512897,0.7790131457281432,0.8857677902621723,0.9972237953655199,0.03547557840616967,0.69957805907173,0.9901185770750988,1.0,0.6535303776683087,0.5611076046088099,0.998015873015873,0.9928759878955254
57,9,metawebify,0.9793094512195122,0.711682466615013,0.8777777777777778,0.9960629921259843,0.01603206412825651,0.7201017811704835,0.9921414538310412,1.0,0.5672333848531684,0.4418193672519366,0.9960629921259843,0.9862879529872673
57,10,metawebify,0.9854772170692556,0.6971580632252901,0.8754512635379061,0.9961575408261287,0.009227780475959204,0.7374581939799331,0.9904214559386973,0.9980769230769231,0.5683018867924529,0.4284276462630404,0.9961575408261287,0.9885167464114832
57,11,metawebify,0.9855222337125129,0.8433244916003536,0.9104477611940298,0.9979188345473465,0.04121475054229935,0.7927170868347339,0.9937694704049844,1.0,0.708185053380783,0.6050959692361084,0.9958419958419958,0.9896373056994818
57,12,metawebify,0.9815772381234351,0.7351585795608563,0.8686868686868687,0.9978401727861771,0.023796347537354733,0.6941391941391941,0.9913885898815931,1.0,0.5664690939881456,0.39186940750795607,0.9956850053937433,0.9913885898815931
57,13,metawebify,0.9845271937265669,0.6274456893092264,0.924956369982548,0.9981884057971014,0.011462631820265932,0.7466349960411718,0.992773261065944,1.0,0.5234806629834254,0.43573610903927645,0.9981884057971014,0.992414855628309
57,14,metawebify,0.9849874895746455,0.7214119574598808,0.9116465863453815,0.9976501614457423,0.0029498525073746312,0.7551622418879056,0.9932998324958124,1.0,0.5909090909090909,0.43397396742980243,0.998320738874895,0.992299012496233
57,15,metawebify,0.9836959955456377,0.7873242309767312,0.865814696485623,0.9976059602406908,0.028169014084507043,0.7126099706744868,0.9914748508098892,1.0,0.6638176638176638,0.49024042306625104,0.9965811965811966,0.9921545350593124
