sp,type,sampler,nbon,rep,deg,monitored
node_55,realized,BalancedAcceptance,356,4,57,16
node_55,realized,BalancedAcceptance,361,4,57,19
node_55,realized,BalancedAcceptance,366,4,57,19
node_55,realized,BalancedAcceptance,371,4,57,22
node_55,realized,BalancedAcceptance,376,4,57,21
node_55,realized,BalancedAcceptance,381,4,57,25
node_55,realized,BalancedAcceptance,386,4,57,22
node_55,realized,BalancedAcceptance,391,4,57,20
node_55,realized,BalancedAcceptance,396,4,57,16
node_55,realized,BalancedAcceptance,401,4,57,16
node_55,realized,BalancedAcceptance,406,4,57,20
node_55,realized,BalancedAcceptance,411,4,57,14
node_55,realized,BalancedAcceptance,416,4,57,16
node_55,realized,BalancedAcceptance,421,4,57,21
node_55,realized,BalancedAcceptance,426,4,57,22
node_55,realized,BalancedAcceptance,431,4,57,23
node_55,realized,BalancedAcceptance,436,4,57,24
node_55,realized,BalancedAcceptance,441,4,57,20
node_55,realized,BalancedAcceptance,446,4,57,20
node_55,realized,BalancedAcceptance,451,4,57,28
node_55,realized,BalancedAcceptance,456,4,57,23
node_55,realized,BalancedAcceptance,461,4,57,19
node_55,realized,BalancedAcceptance,466,4,57,20
node_55,realized,BalancedAcceptance,471,4,57,20
node_55,realized,BalancedAcceptance,476,4,57,20
node_55,realized,BalancedAcceptance,481,4,57,15
node_55,realized,BalancedAcceptance,486,4,57,20
node_55,realized,BalancedAcceptance,491,4,57,23
node_55,realized,BalancedAcceptance,496,4,57,26
node_55,realized,BalancedAcceptance,1,5,57,0
node_55,realized,BalancedAcceptance,6,5,57,0
node_55,realized,BalancedAcceptance,11,5,57,1
node_55,realized,BalancedAcceptance,16,5,57,2
node_55,realized,BalancedAcceptance,21,5,57,1
node_55,realized,BalancedAcceptance,26,5,57,1
node_55,realized,BalancedAcceptance,31,5,57,0
node_55,realized,BalancedAcceptance,36,5,57,3
node_55,realized,BalancedAcceptance,41,5,57,4
node_55,realized,BalancedAcceptance,46,5,57,1
node_55,realized,BalancedAcceptance,51,5,57,8
node_55,realized,BalancedAcceptance,56,5,57,1
node_55,realized,BalancedAcceptance,61,5,57,5
node_55,realized,BalancedAcceptance,66,5,57,3
node_55,realized,BalancedAcceptance,71,5,57,3
node_55,realized,BalancedAcceptance,76,5,57,4
node_55,realized,BalancedAcceptance,81,5,57,7
node_55,realized,BalancedAcceptance,86,5,57,5
node_55,realized,BalancedAcceptance,91,5,57,1
node_55,realized,BalancedAcceptance,96,5,57,4
node_55,realized,BalancedAcceptance,101,5,57,7
node_55,realized,BalancedAcceptance,106,5,57,5
node_55,realized,BalancedAcceptance,111,5,57,5
node_55,realized,BalancedAcceptance,116,5,57,7
node_55,realized,BalancedAcceptance,121,5,57,5
node_55,realized,BalancedAcceptance,126,5,57,11
node_55,realized,BalancedAcceptance,131,5,57,7
node_55,realized,BalancedAcceptance,136,5,57,8
node_55,realized,BalancedAcceptance,141,5,57,8
node_55,realized,BalancedAcceptance,146,5,57,6
node_55,realized,BalancedAcceptance,151,5,57,7
node_55,realized,BalancedAcceptance,156,5,57,6
node_55,realized,BalancedAcceptance,161,5,57,9
node_55,realized,BalancedAcceptance,166,5,57,13
node_55,realized,BalancedAcceptance,171,5,57,12
node_55,realized,BalancedAcceptance,176,5,57,12
node_55,realized,BalancedAcceptance,181,5,57,9
node_55,realized,BalancedAcceptance,186,5,57,13
node_55,realized,BalancedAcceptance,191,5,57,10
node_55,realized,BalancedAcceptance,196,5,57,15
node_55,realized,BalancedAcceptance,201,5,57,12
node_55,realized,BalancedAcceptance,206,5,57,13
node_55,realized,BalancedAcceptance,211,5,57,18
node_55,realized,BalancedAcceptance,216,5,57,16
node_55,realized,BalancedAcceptance,221,5,57,5
node_55,realized,BalancedAcceptance,226,5,57,10
node_55,realized,BalancedAcceptance,231,5,57,13
node_55,realized,BalancedAcceptance,236,5,57,11
node_55,realized,BalancedAcceptance,241,5,57,12
node_55,realized,BalancedAcceptance,246,5,57,14
node_55,realized,BalancedAcceptance,251,5,57,12
node_55,realized,BalancedAcceptance,256,5,57,6
node_55,realized,BalancedAcceptance,261,5,57,14
node_55,realized,BalancedAcceptance,266,5,57,14
node_55,realized,BalancedAcceptance,271,5,57,21
node_55,realized,BalancedAcceptance,276,5,57,11
node_55,realized,BalancedAcceptance,281,5,57,10
node_55,realized,BalancedAcceptance,286,5,57,17
node_55,realized,BalancedAcceptance,291,5,57,8
node_55,realized,BalancedAcceptance,296,5,57,12
node_55,realized,BalancedAcceptance,301,5,57,15
node_55,realized,BalancedAcceptance,306,5,57,15
node_55,realized,BalancedAcceptance,311,5,57,18
node_55,realized,BalancedAcceptance,316,5,57,19
node_55,realized,BalancedAcceptance,321,5,57,10
node_55,realized,BalancedAcceptance,326,5,57,17
node_55,realized,BalancedAcceptance,331,5,57,13
node_55,realized,BalancedAcceptance,336,5,57,15
node_55,realized,BalancedAcceptance,341,5,57,17
node_55,realized,BalancedAcceptance,346,5,57,19
node_55,realized,BalancedAcceptance,351,5,57,19
node_55,realized,BalancedAcceptance,356,5,57,17
node_55,realized,BalancedAcceptance,361,5,57,17
node_55,realized,BalancedAcceptance,366,5,57,22
node_55,realized,BalancedAcceptance,371,5,57,21
node_55,realized,BalancedAcceptance,376,5,57,21
node_55,realized,BalancedAcceptance,381,5,57,24
node_55,realized,BalancedAcceptance,386,5,57,16
node_55,realized,BalancedAcceptance,391,5,57,21
node_55,realized,BalancedAcceptance,396,5,57,15
node_55,realized,BalancedAcceptance,401,5,57,16
node_55,realized,BalancedAcceptance,406,5,57,17
node_55,realized,BalancedAcceptance,411,5,57,17
node_55,realized,BalancedAcceptance,416,5,57,15
node_55,realized,BalancedAcceptance,421,5,57,17
node_55,realized,BalancedAcceptance,426,5,57,23
node_55,realized,BalancedAcceptance,431,5,57,21
node_55,realized,BalancedAcceptance,436,5,57,20
node_55,realized,BalancedAcceptance,441,5,57,17
node_55,realized,BalancedAcceptance,446,5,57,20
node_55,realized,BalancedAcceptance,451,5,57,20
node_55,realized,BalancedAcceptance,456,5,57,21
node_55,realized,BalancedAcceptance,461,5,57,23
node_55,realized,BalancedAcceptance,466,5,57,19
node_55,realized,BalancedAcceptance,471,5,57,21
node_55,realized,BalancedAcceptance,476,5,57,14
node_55,realized,BalancedAcceptance,481,5,57,25
node_55,realized,BalancedAcceptance,486,5,57,19
node_55,realized,BalancedAcceptance,491,5,57,12
node_55,realized,BalancedAcceptance,496,5,57,19
node_55,realized,BalancedAcceptance,1,6,57,0
node_55,realized,BalancedAcceptance,6,6,57,1
node_55,realized,BalancedAcceptance,11,6,57,0
node_55,realized,BalancedAcceptance,16,6,57,4
node_55,realized,BalancedAcceptance,21,6,57,2
node_55,realized,BalancedAcceptance,26,6,57,3
node_55,realized,BalancedAcceptance,31,6,57,2
node_55,realized,BalancedAcceptance,36,6,57,3
node_55,realized,BalancedAcceptance,41,6,57,1
node_55,realized,BalancedAcceptance,46,6,57,4
node_55,realized,BalancedAcceptance,51,6,57,3
node_55,realized,BalancedAcceptance,56,6,57,3
node_55,realized,BalancedAcceptance,61,6,57,4
node_55,realized,BalancedAcceptance,66,6,57,5
node_55,realized,BalancedAcceptance,71,6,57,6
node_55,realized,BalancedAcceptance,76,6,57,5
node_55,realized,BalancedAcceptance,81,6,57,6
node_55,realized,BalancedAcceptance,86,6,57,9
node_55,realized,BalancedAcceptance,91,6,57,6
node_55,realized,BalancedAcceptance,96,6,57,9
node_55,realized,BalancedAcceptance,101,6,57,6
node_55,realized,BalancedAcceptance,106,6,57,5
node_55,realized,BalancedAcceptance,111,6,57,5
node_55,realized,BalancedAcceptance,116,6,57,5
node_55,realized,BalancedAcceptance,121,6,57,11
node_55,realized,BalancedAcceptance,126,6,57,5
node_55,realized,BalancedAcceptance,131,6,57,10
node_55,realized,BalancedAcceptance,136,6,57,7
node_55,realized,BalancedAcceptance,141,6,57,7
node_55,realized,BalancedAcceptance,146,6,57,5
node_55,realized,BalancedAcceptance,151,6,57,8
node_55,realized,BalancedAcceptance,156,6,57,9
node_55,realized,BalancedAcceptance,161,6,57,11
node_55,realized,BalancedAcceptance,166,6,57,9
node_55,realized,BalancedAcceptance,171,6,57,11
node_55,realized,BalancedAcceptance,176,6,57,10
node_55,realized,BalancedAcceptance,181,6,57,6
node_55,realized,BalancedAcceptance,186,6,57,9
node_55,realized,BalancedAcceptance,191,6,57,11
node_55,realized,BalancedAcceptance,196,6,57,12
node_55,realized,BalancedAcceptance,201,6,57,6
node_55,realized,BalancedAcceptance,206,6,57,8
node_55,realized,BalancedAcceptance,211,6,57,9
node_55,realized,BalancedAcceptance,216,6,57,11
node_55,realized,BalancedAcceptance,221,6,57,14
node_55,realized,BalancedAcceptance,226,6,57,9
node_55,realized,BalancedAcceptance,231,6,57,15
node_55,realized,BalancedAcceptance,236,6,57,13
node_55,realized,BalancedAcceptance,241,6,57,9
node_55,realized,BalancedAcceptance,246,6,57,19
node_55,realized,BalancedAcceptance,251,6,57,13
node_55,realized,BalancedAcceptance,256,6,57,14
node_55,realized,BalancedAcceptance,261,6,57,16
node_55,realized,BalancedAcceptance,266,6,57,14
node_55,realized,BalancedAcceptance,271,6,57,18
node_55,realized,BalancedAcceptance,276,6,57,17
node_55,realized,BalancedAcceptance,281,6,57,11
