sp,var,sampler,nbon,low,med,upp,deg
node_55,realized,WeightedBalancedAcceptance,191,11,19.0,21,57
node_55,realized,WeightedBalancedAcceptance,196,13,15.0,16,57
node_55,realized,WeightedBalancedAcceptance,201,13,16.0,17,57
node_55,realized,WeightedBalancedAcceptance,206,12,16.0,23,57
node_55,realized,WeightedBalancedAcceptance,211,11,16.0,19,57
node_55,realized,WeightedBalancedAcceptance,216,12,19.0,21,57
node_55,realized,WeightedBalancedAcceptance,221,17,19.0,23,57
node_55,realized,WeightedBalancedAcceptance,226,16,20.0,23,57
node_55,realized,WeightedBalancedAcceptance,231,15,18.0,24,57
node_55,realized,WeightedBalancedAcceptance,236,14,16.0,20,57
node_55,realized,WeightedBalancedAcceptance,241,11,17.0,20,57
node_55,realized,WeightedBalancedAcceptance,246,15,16.0,23,57
node_55,realized,WeightedBalancedAcceptance,251,12,18.0,25,57
node_55,realized,WeightedBalancedAcceptance,256,12,14.0,23,57
node_55,realized,WeightedBalancedAcceptance,261,18,19.0,21,57
node_55,realized,WeightedBalancedAcceptance,266,14,19.0,20,57
node_55,realized,WeightedBalancedAcceptance,271,14,19.0,22,57
node_55,realized,WeightedBalancedAcceptance,276,16,19.0,23,57
node_55,realized,WeightedBalancedAcceptance,281,18,25.0,27,57
node_55,realized,WeightedBalancedAcceptance,286,15,20.0,24,57
node_55,realized,WeightedBalancedAcceptance,291,17,20.0,23,57
node_55,realized,WeightedBalancedAcceptance,296,16,21.0,23,57
node_55,realized,WeightedBalancedAcceptance,301,20,20.0,25,57
node_55,realized,WeightedBalancedAcceptance,306,14,24.0,25,57
node_55,realized,WeightedBalancedAcceptance,311,17,21.0,23,57
node_55,realized,WeightedBalancedAcceptance,316,21,25.0,26,57
node_55,realized,WeightedBalancedAcceptance,321,19,22.0,24,57
node_55,realized,WeightedBalancedAcceptance,326,21,22.0,28,57
node_55,realized,WeightedBalancedAcceptance,331,18,22.0,27,57
node_55,realized,WeightedBalancedAcceptance,336,14,21.0,24,57
node_55,realized,WeightedBalancedAcceptance,341,20,28.0,29,57
node_55,realized,WeightedBalancedAcceptance,346,19,26.0,27,57
node_55,realized,WeightedBalancedAcceptance,351,20,22.0,26,57
node_55,realized,WeightedBalancedAcceptance,356,18,20.0,22,57
node_55,realized,WeightedBalancedAcceptance,361,20,22.0,27,57
node_55,realized,WeightedBalancedAcceptance,366,15,23.0,28,57
node_55,realized,WeightedBalancedAcceptance,371,15,17.0,26,57
node_55,realized,WeightedBalancedAcceptance,376,21,24.0,26,57
node_55,realized,WeightedBalancedAcceptance,381,21,24.0,28,57
node_55,realized,WeightedBalancedAcceptance,386,19,24.0,25,57
node_55,realized,WeightedBalancedAcceptance,391,16,21.0,26,57
node_55,realized,WeightedBalancedAcceptance,396,17,26.0,30,57
node_55,realized,WeightedBalancedAcceptance,401,18,26.0,31,57
node_55,realized,WeightedBalancedAcceptance,406,23,24.0,25,57
node_55,realized,WeightedBalancedAcceptance,411,17,22.0,24,57
node_55,realized,WeightedBalancedAcceptance,416,21,25.0,28,57
node_55,realized,WeightedBalancedAcceptance,421,23,28.0,29,57
node_55,realized,WeightedBalancedAcceptance,426,22,24.0,29,57
node_55,realized,WeightedBalancedAcceptance,431,24,30.0,33,57
node_55,realized,WeightedBalancedAcceptance,436,25,27.0,37,57
node_55,realized,WeightedBalancedAcceptance,441,24,27.0,28,57
node_55,realized,WeightedBalancedAcceptance,446,20,26.0,33,57
node_55,realized,WeightedBalancedAcceptance,451,21,25.0,30,57
node_55,realized,WeightedBalancedAcceptance,456,20,25.0,32,57
node_55,realized,WeightedBalancedAcceptance,461,23,25.0,34,57
node_55,realized,WeightedBalancedAcceptance,466,21,24.0,31,57
node_55,realized,WeightedBalancedAcceptance,471,21,28.0,31,57
node_55,realized,WeightedBalancedAcceptance,476,25,26.0,32,57
node_55,realized,WeightedBalancedAcceptance,481,25,28.0,31,57
node_55,realized,WeightedBalancedAcceptance,486,24,26.0,30,57
node_55,realized,WeightedBalancedAcceptance,491,24,29.0,32,57
node_55,realized,WeightedBalancedAcceptance,496,24,28.0,32,57
node_55,realized,SimpleRandom,1,0,0.0,0,57
node_55,realized,SimpleRandom,6,0,0.0,2,57
node_55,realized,SimpleRandom,11,0,0.0,2,57
node_55,realized,SimpleRandom,16,0,1.0,2,57
node_55,realized,SimpleRandom,21,1,2.0,3,57
node_55,realized,SimpleRandom,26,1,2.0,4,57
node_55,realized,SimpleRandom,31,2,3.0,5,57
node_55,realized,SimpleRandom,36,1,2.0,4,57
node_55,realized,SimpleRandom,41,1,3.0,6,57
node_55,realized,SimpleRandom,46,0,4.0,5,57
node_55,realized,SimpleRandom,51,4,4.0,6,57
node_55,realized,SimpleRandom,56,2,3.0,4,57
node_55,realized,SimpleRandom,61,2,3.0,5,57
node_55,realized,SimpleRandom,66,2,5.0,6,57
node_55,realized,SimpleRandom,71,4,5.0,7,57
node_55,realized,SimpleRandom,76,4,4.0,8,57
node_55,realized,SimpleRandom,81,4,6.0,8,57
node_55,realized,SimpleRandom,86,3,5.0,11,57
node_55,realized,SimpleRandom,91,3,7.0,7,57
node_55,realized,SimpleRandom,96,4,5.0,7,57
node_55,realized,SimpleRandom,101,6,8.0,10,57
node_55,realized,SimpleRandom,106,4,5.0,9,57
node_55,realized,SimpleRandom,111,3,6.0,7,57
node_55,realized,SimpleRandom,116,5,6.0,7,57
node_55,realized,SimpleRandom,121,4,8.0,11,57
node_55,realized,SimpleRandom,126,6,7.0,10,57
node_55,realized,SimpleRandom,131,6,9.0,10,57
node_55,realized,SimpleRandom,136,6,7.0,10,57
node_55,realized,SimpleRandom,141,4,7.0,8,57
node_55,realized,SimpleRandom,146,4,9.0,11,57
node_55,realized,SimpleRandom,151,7,7.0,7,57
node_55,realized,SimpleRandom,156,9,13.0,14,57
node_55,realized,SimpleRandom,161,6,9.0,11,57
node_55,realized,SimpleRandom,166,6,12.0,13,57
node_55,realized,SimpleRandom,171,7,7.0,12,57
node_55,realized,SimpleRandom,176,8,10.0,16,57
node_55,realized,SimpleRandom,181,8,10.0,11,57
node_55,realized,SimpleRandom,186,9,12.0,13,57
node_55,realized,SimpleRandom,191,6,11.0,13,57
node_55,realized,SimpleRandom,196,10,13.0,16,57
node_55,realized,SimpleRandom,201,8,9.0,14,57
node_55,realized,SimpleRandom,206,5,9.0,12,57
node_55,realized,SimpleRandom,211,8,12.0,14,57
node_55,realized,SimpleRandom,216,6,10.0,17,57
node_55,realized,SimpleRandom,221,9,11.0,12,57
node_55,realized,SimpleRandom,226,10,13.0,17,57
node_55,realized,SimpleRandom,231,8,10.0,16,57
node_55,realized,SimpleRandom,236,4,13.0,17,57
node_55,realized,SimpleRandom,241,12,14.0,19,57
node_55,realized,SimpleRandom,246,10,17.0,21,57
node_55,realized,SimpleRandom,251,9,16.0,17,57
node_55,realized,SimpleRandom,256,12,16.0,18,57
node_55,realized,SimpleRandom,261,10,14.0,17,57
node_55,realized,SimpleRandom,266,11,16.0,20,57
node_55,realized,SimpleRandom,271,12,13.0,18,57
node_55,realized,SimpleRandom,276,12,15.0,19,57
node_55,realized,SimpleRandom,281,12,16.0,19,57
node_55,realized,SimpleRandom,286,11,16.0,18,57
node_55,realized,SimpleRandom,291,12,14.0,18,57
node_55,realized,SimpleRandom,296,10,16.0,19,57
node_55,realized,SimpleRandom,301,11,14.0,19,57
node_55,realized,SimpleRandom,306,11,17.0,18,57
node_55,realized,SimpleRandom,311,15,15.0,18,57
