sim,set,variable,eff,occ
7,ranges,Over-0.2,3.9768976897689767,0.859
7,ranges,Over-0.18,3.9788978897889793,0.859
7,ranges,Over-0.16,3.972897289728973,0.859
7,ranges,Over-0.14,3.958895889588959,0.859
7,ranges,Over-0.12,3.9608960896089607,0.859
7,ranges,Over-0.1,3.946894689468947,0.859
7,ranges,Over-0.08,3.9248924892489248,0.859
7,ranges,Over-0.06,3.9028902890289032,0.859
7,ranges,Over-0.04,3.8768876887688766,0.859
7,ranges,Over-0.02,3.852885288528853,0.859
7,ranges,True-0.0,3.828882888288829,0.859
7,ranges,Under-0.02,3.8228822882288234,0.859
7,ranges,Under-0.04,3.8308830883088305,0.859
7,ranges,Under-0.06,3.812881288128813,0.859
7,ranges,Under-0.08,3.808880888088809,0.859
7,ranges,Under-0.1,3.792879287928793,0.859
7,ranges,Under-0.12,3.7988798879887984,0.859
7,ranges,Under-0.14,3.794879487948794,0.859
7,ranges,Under-0.16,3.8048804880488056,0.859
7,ranges,Under-0.18,3.806880688068807,0.859
7,ranges,Under-0.2,3.8188818881888187,0.859
7,ranges,Under-0.22,3.824882488248825,0.859
7,ranges,Under-0.24,3.8348834883488343,0.859
7,ranges,Under-0.26,3.824882488248825,0.859
7,ranges,Under-0.28,3.8648864886488656,0.859
7,ranges,Under-0.3,3.950895089508952,0.859
8,ranges,Over-0.3,7.645264526452644,0.4049
8,ranges,Over-0.28,7.627262726272628,0.4049
8,ranges,Over-0.26,7.605260526052606,0.4049
8,ranges,Over-0.24,7.613261326132614,0.4049
8,ranges,Over-0.22,7.569256925692569,0.4049
8,ranges,Over-0.2,7.543254325432542,0.4049
8,ranges,Over-0.18,7.5152515251525145,0.4049
8,ranges,Over-0.16,7.47924792479248,0.4049
8,ranges,Over-0.14,7.413241324132414,0.4049
8,ranges,Over-0.12,7.35923592359236,0.4049
8,ranges,Over-0.1,7.325232523252325,0.4049
8,ranges,Over-0.08,7.2752275227522745,0.4049
8,ranges,Over-0.06,7.177217721772178,0.4049
8,ranges,Over-0.04,7.143214321432143,0.4049
8,ranges,Over-0.02,7.0232023202320235,0.4049
8,ranges,True-0.0,6.897189718971896,0.4049
8,ranges,Under-0.02,6.923192319231923,0.4049
8,ranges,Under-0.04,6.9771977197719774,0.4049
8,ranges,Under-0.06,6.9611961196119605,0.4049
8,ranges,Under-0.08,7.025202520252025,0.4049
8,ranges,Under-0.1,7.045204520452044,0.4049
