sim,set,variable,eff,occ
71,layers,Realized interactions,3.8628862886288626,0.8064
71,layers,Focal species range,7.2792279227922805,0.8064
71,layers,Probabilistic range,7.365236523652365,0.8064
72,layers,Species richness,7.125212521252124,0.2074
72,layers,Realized interactions,3.6308630863086315,0.2074
72,layers,Focal species range,5.647064706470648,0.2074
72,layers,Probabilistic range,6.863186318631864,0.2074
73,layers,Species richness,6.863186318631864,0.4773
73,layers,Realized interactions,3.9388938893889396,0.4773
73,layers,Focal species range,6.167116711671168,0.4773
73,layers,Probabilistic range,6.63916391639164,0.4773
74,layers,Species richness,6.941194119411942,0.138
74,layers,Realized interactions,3.490849084908491,0.138
74,layers,Focal species range,5.125012501250126,0.138
74,layers,Probabilistic range,6.559155915591559,0.138
75,layers,Species richness,7.053205320532053,0.2782
75,layers,Realized interactions,3.5848584858485837,0.2782
75,layers,Focal species range,5.775077507750774,0.2782
75,layers,Probabilistic range,6.653165316531653,0.2782
76,layers,Species richness,6.551155115511551,0.5511
76,layers,Realized interactions,4.522952295229523,0.5511
76,layers,Focal species range,6.073107310731075,0.5511
76,layers,Probabilistic range,6.357135713571358,0.5511
77,layers,Species richness,6.251125112511251,0.6654
77,layers,Realized interactions,4.270927092709272,0.6654
77,layers,Focal species range,5.911091109110911,0.6654
77,layers,Probabilistic range,6.117111711171117,0.6654
78,layers,Species richness,5.067006700670067,0.9038
78,layers,Realized interactions,4.046904690469047,0.9038
78,layers,Focal species range,4.95899589958996,0.9038
78,layers,Probabilistic range,5.009000900090008,0.9038
79,layers,Species richness,7.46924692469247,0.4448
79,layers,Realized interactions,3.6208620862086205,0.4448
79,layers,Focal species range,6.741174117411741,0.4448
79,layers,Probabilistic range,7.187218721872187,0.4448
80,layers,Species richness,4.942994299429943,0.3648
80,layers,Realized interactions,3.342834283428343,0.3648
80,layers,Focal species range,3.916891689168916,0.3648
80,layers,Probabilistic range,4.668966896689669,0.3648
81,layers,Species richness,6.255125512551255,0.7709
81,layers,Realized interactions,4.050905090509049,0.7709
81,layers,Focal species range,6.001100110011002,0.7709
81,layers,Probabilistic range,6.129112911291128,0.7709
82,layers,Species richness,7.51125112511251,0.4988
82,layers,Realized interactions,3.6008600860086,0.4988
82,layers,Focal species range,6.839183918391839,0.4988
