sim,variable,offset,eff,eff_low,eff_upp,rmse,deg,pmax,occ,set
3,Over-0.38,0.38,1376.6089473322777,1458.8216067039468,1299.029425645094,0.015358106760707162,55,1.0,0.3808,ranges
3,Over-0.36,0.36,1360.1867281433695,1444.3046447371228,1286.102580663356,0.016959263284500037,55,1.0,0.3808,ranges
3,Over-0.34,0.34,1341.2749143871204,1415.7026649307797,1263.1575644299423,0.01713663670802134,55,1.0,0.3808,ranges
3,Over-0.32,0.32,1304.236471199921,1387.6670983474569,1220.9279560680316,0.015681717171113507,55,1.0,0.3808,ranges
3,Over-0.30,0.3,1306.847815750792,1396.0189666712486,1233.1997193466814,0.016758165651934435,55,1.0,0.3808,ranges
3,Over-0.28,0.28,1280.9679330181082,1362.910096396854,1194.358222870819,0.01888924390375643,55,1.0,0.3808,ranges
3,Over-0.26,0.26,1278.4083016735763,1343.9604173739258,1203.952373497489,0.01721945986517707,55,1.0,0.3808,ranges
3,Over-0.24,0.24,1245.5948282930437,1327.927677939754,1175.3986762323834,0.019552070722842603,55,1.0,0.3808,ranges
3,Over-0.22,0.22,1243.105879520086,1327.927677939754,1161.376789528215,0.017456509710639754,55,1.0,0.3808,ranges
3,Over-0.20,0.2,1211.198529080152,1299.029425645094,1149.8197474572341,0.017612859922264038,55,1.0,0.3808,ranges
3,Over-0.18,0.18,1187.2128166499845,1255.600557038076,1127.0495366727275,0.01697137928784467,55,1.0,0.3808,ranges
3,Over-0.16,0.16,1180.1101587680316,1245.5948282930437,1102.5227778737278,0.01828538308033568,55,1.0,0.3808,ranges
3,Over-0.14,0.14,1168.366698009867,1240.6219041669356,1104.7302509139217,0.017848232711888203,55,1.0,0.3808,ranges
3,Over-0.12,0.12,1159.0561253205753,1225.8219387299328,1091.5514012774415,0.01762010502802454,55,1.0,0.3808,ranges
3,Over-0.10,0.1,1122.5498938475287,1182.4729773983784,1050.8466660334345,0.019367950438250486,55,1.0,0.3808,ranges
3,Over-0.08,0.08,1111.379224287961,1173.0499934773686,1042.4725962434718,0.0191914380182857,55,1.0,0.3808,ranges
3,Over-0.06,0.06,1095.9267893630997,1168.366698009867,1036.2358658960702,0.018237448921742946,55,1.0,0.3808,ranges
3,Over-0.04,0.04,1076.3746491600991,1142.9407985631824,1009.6383399280174,0.020633764726192095,55,1.0,0.3808,ranges
3,Over-0.02,0.02,1048.7468632238995,1109.1584652628346,1001.5926542971234,0.018654570518181385,55,1.0,0.3808,ranges
3,True-0.00,0.0,1036.2358658960702,1109.1584652628346,975.8843310197395,0.02048989250483029,55,1.0,0.3808,ranges
3,Under-0.02,-0.02,1050.8466660334345,1118.0682154372828,995.6004936155866,0.021078086623014757,55,0.9818181818181818,0.3808,ranges
3,Under-0.04,-0.04,1046.6512562423432,1113.604429720705,985.6931173925111,0.02037344032053598,55,0.9818181818181818,0.3808,ranges
3,Under-0.06,-0.06,1061.4089121214452,1109.1584652628346,993.6110837604278,0.01848547321422113,55,0.9818181818181818,0.3808,ranges
3,Under-0.08,-0.08,1052.950673071839,1120.3068135798414,997.5938866706477,0.020201948373207126,55,0.9818181818181818,0.3808,ranges
3,Under-0.10,-0.1,1050.8466660334345,1113.604429720705,987.6666738815171,0.018289524694779763,55,0.9818181818181818,0.3808,ranges
3,Under-0.12,-0.12,1057.1713335229633,1118.0682154372828,993.6110837604278,0.018315407607878895,55,0.9818181818181818,0.3808,ranges
