nbon,nrep,refmethod,prop_monitored_sp,prop_possible_int,prop_realized_int,prop_detected_int
5,4,global,0.8133333333333334,0.5796370967741935,0.021169354838709676,0.011088709677419355
5,5,global,0.92,0.6188524590163934,0.013934426229508197,0.00819672131147541
5,6,global,0.88,0.6770007209805335,0.010814708002883922,0.005767844268204758
5,7,global,0.8266666666666667,0.5971039182282794,0.016183986371379896,0.0068143100511073255
5,8,global,0.88,0.5540838852097131,0.02097130242825607,0.011037527593818985
5,9,global,0.9066666666666666,0.6622718052738337,0.02332657200811359,0.006085192697768763
5,10,global,0.84,0.543,0.014,0.006
5,11,global,0.9066666666666666,0.7139175257731959,0.01804123711340206,0.009450171821305841
5,12,global,0.8,0.538928210313448,0.027300303336703743,0.014155712841253791
5,13,global,0.8533333333333334,0.6025524156791249,0.019143117593436645,0.0054694621695533276
5,14,global,0.8533333333333334,0.6113445378151261,0.015406162464985995,0.0063025210084033615
5,15,global,0.9066666666666666,0.6380597014925373,0.017723880597014924,0.0065298507462686565
5,16,global,0.9066666666666666,0.6536624203821656,0.018312101910828025,0.007165605095541401
5,17,global,0.88,0.6645041705282669,0.018535681186283594,0.010194624652455977
5,18,global,0.8933333333333333,0.6179591836734694,0.022040816326530613,0.004897959183673469
5,19,global,0.92,0.7458777885548011,0.01842870999030068,0.005819592628516004
5,20,global,0.7466666666666667,0.4128755364806867,0.007725321888412017,0.0034334763948497852
6,1,global,0.92,0.7568555758683729,0.015539305301645339,0.010968921389396709
6,2,global,0.9733333333333334,0.7709125475285171,0.025665399239543727,0.005703422053231939
6,3,global,0.9866666666666667,0.7689110556940981,0.014131338320864505,0.00914380714879468
6,4,global,0.8666666666666667,0.658493870402802,0.023642732049036778,0.008756567425569177
6,5,global,0.92,0.6141666666666666,0.020833333333333332,0.014166666666666666
6,6,global,0.9733333333333334,0.7774413323239969,0.02043906131718395,0.011355034065102196
6,7,global,0.9333333333333333,0.7576054955839058,0.03434739941118744,0.014720314033366046
6,8,global,0.8666666666666667,0.6491379310344828,0.02327586206896552,0.009482758620689655
6,9,global,0.8933333333333333,0.6558098591549296,0.02464788732394366,0.01056338028169014
6,10,global,0.9466666666666667,0.809865470852018,0.023318385650224215,0.0053811659192825115
6,11,global,0.92,0.7220367278797997,0.019198664440734557,0.005008347245409015
6,12,global,0.9066666666666666,0.6095890410958904,0.02054794520547945,0.008561643835616438
6,13,global,0.8933333333333333,0.6508704061895552,0.02321083172147002,0.006769825918762089
6,14,global,0.8933333333333333,0.7370855821125675,0.017733230531996914,0.007710100231303007
6,15,global,0.92,0.7250470809792844,0.02448210922787194,0.007532956685499058
6,16,global,0.9066666666666666,0.7318132464712269,0.026058631921824105,0.014115092290988056
6,17,global,0.9733333333333334,0.793038570084666,0.03198494825964252,0.012229539040451553
6,18,global,0.9733333333333334,0.7837613918806959,0.0231980115990058,0.007456503728251864
6,19,global,0.88,0.6598579040852576,0.022202486678507993,0.006216696269982238
6,20,global,0.96,0.7640538400633412,0.023752969121140142,0.013460015835312747
7,1,global,0.96,0.7963152507676561,0.027635619242579325,0.012282497441146366
7,2,global,0.92,0.6991951710261569,0.025150905432595575,0.01006036217303823
7,3,global,0.9733333333333334,0.7899497487437186,0.031155778894472363,0.016080402010050253
7,4,global,0.96,0.7464251668255482,0.029551954242135366,0.01334604385128694
7,5,global,0.92,0.7043824701195219,0.022310756972111555,0.009561752988047808
7,6,global,0.9333333333333333,0.7825311942959001,0.025846702317290554,0.0106951871657754
7,7,global,0.88,0.681057268722467,0.02907488986784141,0.012334801762114538
7,8,global,0.9333333333333333,0.7361008154188288,0.018532246108228317,0.008895478131949592
7,9,global,0.9333333333333333,0.7219343696027634,0.03540587219343696,0.016407599309153715
7,10,global,0.96,0.8166666666666667,0.018627450980392157,0.00784313725490196
7,11,global,0.9333333333333333,0.6867167919799498,0.03258145363408521,0.00835421888053467
7,12,global,0.9066666666666666,0.6946011281224819,0.0265914585012087,0.010475423045930701
7,13,global,0.9466666666666667,0.6942355889724311,0.03759398496240601,0.017543859649122806
7,14,global,0.9466666666666667,0.7271986970684039,0.024429967426710098,0.009771986970684038
7,15,global,0.96,0.742238946378175,0.02634054562558796,0.00940733772342427
7,16,global,0.84,0.5325497287522604,0.023508137432188065,0.009945750452079566
7,17,global,0.9466666666666667,0.790719696969697,0.02556818181818182,0.013257575757575758
7,18,global,0.9066666666666666,0.7162041181736795,0.02954341987466428,0.011638316920322292
7,19,global,0.9333333333333333,0.729072907290729,0.019801980198019802,0.008100810081008101
7,20,global,0.92,0.6905916585838991,0.03200775945683802,0.01745877788554801
8,1,global,0.9066666666666666,0.6864628820960699,0.039301310043668124,0.01572052401746725
8,2,global,0.9466666666666667,0.7444146559428061,0.03038427167113494,0.010723860589812333
8,3,global,0.9333333333333333,0.6827697262479872,0.023349436392914653,0.00966183574879227
8,4,global,0.9466666666666667,0.6803493449781659,0.03056768558951965,0.013973799126637555
8,5,global,0.92,0.6640211640211641,0.025573192239858905,0.01146384479717813
8,6,global,0.9733333333333334,0.7926267281105991,0.03225806451612903,0.009216589861751152
8,7,global,0.9333333333333333,0.7416666666666667,0.021212121212121213,0.010606060606060607
8,8,global,0.7333333333333333,0.4552169898430286,0.03139427516158818,0.012927054478301015
8,9,global,0.9333333333333333,0.7530266343825666,0.03228410008071025,0.00887812752219532
8,10,global,0.9733333333333334,0.8124087591240876,0.016058394160583942,0.00583941605839416
8,11,global,0.9466666666666667,0.7873612297181896,0.032450896669513236,0.010247651579846286
8,12,global,0.9333333333333333,0.7110894941634242,0.029182879377431907,0.008754863813229572
8,13,global,0.96,0.7625772285966461,0.02383053839364519,0.00529567519858782
8,14,global,0.92,0.7759103641456583,0.021475256769374416,0.007469654528478058
8,15,global,0.9733333333333334,0.7712305025996534,0.02859618717504333,0.005199306759098787
8,16,global,0.9333333333333333,0.6703910614525139,0.027001862197392923,0.0074487895716946
8,17,global,0.88,0.7114093959731543,0.026845637583892617,0.010067114093959731
8,18,global,0.9733333333333334,0.8121047877145439,0.03432700993676603,0.01084010840108401
8,19,global,0.96,0.7687140115163148,0.04030710172744722,0.015355086372360844
