sim,set,variable,deg,rank,occ,eff
71,species,node_12,16,3,0.4125,6.927192719271926
71,species,node_6,10,4,0.607,5.155015501550155
72,species,node_71,44,1,0.1908,7.1992199219922
72,species,node_40,30,2,0.6903,6.037103710371037
72,species,node_25,21,3,0.4823,6.9611961196119605
72,species,node_62,6,4,0.9391,6.121112111211123
73,species,node_73,52,1,0.4337,6.871187118711873
73,species,node_14,25,2,0.3931,7.125212521252124
73,species,node_13,21,3,0.7041,5.643064306430643
73,species,node_5,16,4,0.3803,4.3829382938293815
74,species,node_65,41,1,0.6586,7.073207320732074
74,species,node_23,33,2,0.4974,5.093009300930094
74,species,node_19,13,3,0.6827,7.661266126612659
74,species,node_67,6,4,0.3754,8.143314331433142
75,species,node_74,48,1,0.832,7.047204720472047
75,species,node_25,30,2,0.2114,7.153215321532153
75,species,node_53,20,3,0.0706,7.049204920492049
75,species,node_70,7,4,0.074,7.053205320532053
76,species,node_48,57,1,0.5106,6.545154515451546
76,species,node_29,29,2,0.714,7.651265126512652
76,species,node_52,23,3,0.1931,3.8048804880488056
76,species,node_59,14,4,0.374,6.495149514951494
77,species,node_71,49,1,0.7258,6.245124512451246
77,species,node_26,29,2,0.7,5.653065306530653
77,species,node_10,17,3,0.4053,6.477147714771476
77,species,node_72,9,4,0.1121,8.043304330433044
78,species,node_62,63,1,0.7245,5.027002700270026
78,species,node_57,29,2,0.3968,5.593059305930592
78,species,node_30,22,3,0.8402,4.562956295629563
78,species,node_4,6,4,0.4145,7.559255925592559
79,species,node_70,37,1,0.5663,7.487248724872487
79,species,node_60,9,2,0.7001,8.327332733273327
79,species,node_20,13,3,0.4456,7.477247724772478
79,species,node_5,10,4,0.4448,6.16111611161116
80,species,node_62,67,1,0.5055,4.934993499349934
80,species,node_52,41,2,0.1521,6.521152115211521
80,species,node_36,31,3,0.4215,5.877087708770877
80,species,node_4,9,4,0.3173,4.062906290629062
81,species,node_67,62,1,0.4119,6.2271227122712265
81,species,node_53,30,2,0.2417,6.725172517251726
81,species,node_36,25,3,0.2925,7.057205720572057
81,species,node_6,12,4,0.4638,4.5169516951695154
82,species,node_57,49,1,0.5005,7.5152515251525145
82,species,node_26,35,2,0.4804,6.979197919791979
82,species,node_23,23,3,0.7207,6.23912391239124
82,species,node_72,17,4,0.1714,6.609160916091611
83,species,node_68,41,1,0.354,8.227322732273228
83,species,node_38,36,2,0.2892,5.697069706970696
83,species,node_49,21,3,0.6288,5.989098909890989
83,species,node_75,6,4,0.847,6.207120712071209
84,species,node_74,48,1,0.1384,4.420942094209421
84,species,node_72,23,2,0.4498,5.55905590559056
84,species,node_6,19,3,0.6511,5.857085708570857
84,species,node_60,10,4,0.3288,5.1970197019701985
85,species,node_38,37,1,0.888,7.76927692769277
85,species,node_57,29,2,0.4969,5.407040704070408
85,species,node_52,21,3,0.2726,5.405040504050405
85,species,node_72,7,4,0.3239,6.533153315331532
86,species,node_44,54,1,0.3385,5.897089708970897
86,species,node_23,28,2,0.4685,6.103110311031104
86,species,node_7,21,3,0.9425,5.751075107510751
86,species,node_45,11,4,0.5476,4.318931893189319
87,species,node_67,57,1,0.2195,5.335033503350335
